Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks,Monthly Revenue,Annual Burn Rate,Customer Acquisition Cost (CAC),Customer Lifetime Value (CLV),Active Users,Revenue Growth Rate (%),Funding Utilization (%),Profit Margin (%),Valuation at Funding,Operating Expenses
1,09/01/2020,BYJU’S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,"20,00,00,000",,464469,7436877,20,673,,14.2,24.8,8.5,74991072,1976653
2,13/01/2020,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,"80,48,394",,3874301,7451543,383,2535,111410,35.5%,63.1,-13.9,417607907,1093892
3,09/01/2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,"1,83,58,860",,3279766,11963396,405,1415,1732165,-13.8%,93.7,-7.5,265998637,936106
4,02/01/2020,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,"30,00,000",,2205614,9506464,268,3854,1656397,-8.1,75.7,39.0,121949495,1253589
5,02/01/2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,"18,00,000",,2176415,6877378,231,4380,312331,0.6,55.7,12.2%,308227903,1077335
6,13/01/2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,"90,00,000",,4295817,"9,834,072",326,1332,1217347,10.5%,21.2,8.0%,477383342,"860,056"
7,10/01/2020,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,"15,00,00,000",,448009,10778174,210,2785,195672,12.9,70.9,-19.4,86959804,
8,12/12/2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,"60,00,000",,3492892,4874569,224,4033,175306,-2.8%,52.8%,8.9%,353840848,354204
9,06/12/2019,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,"7,00,00,000",,1023318,12800290,152,802,1264744,-7.8,43.9%,6.2,210760819,1388496
10,03/12/2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,"5,00,00,000",,489003,6351915,98,104,1593965,-1.1,65.2,-14.5%,114998529,1810172
11,13/12/2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,"2,00,00,000",,2641865,5428100,103,3709,1689298,,37.0%,37.1,144441510,1355935
12,17/12/2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,"1,20,00,000",,4878599,8425952,329,3773,663384,6.2%,52.2,35.9,208428771,304931
13,16/12/2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,"3,00,00,000",,3684046,2155354,416,828,1846210,10.8%,112.6,-9.4,313748187,294360
14,16/12/2019,InCred,Finance,Non-Banking Financial Company,Mumbai,,Debt Funding,"59,00,000",,3810475,,214,3005,1079467,20.8%,81.1,19.9,299133065,819239
15,14/12/2019,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,"20,00,000",,3593036,,52,3615,799911,,119.0,-36.3%,289637443,621085
16,11/12/2019,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,"5,00,00,000",,3934600,19120802,307,,689704,47.9,82.8,18.0,182082580,448097
17,20/12/2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,"23,10,00,000",,2575868,5743787,451,4050,1469739,28.2,29.7,29.5,221667473,959982
18,13/11/2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,"15,00,00,000",,658005,,266,1138,741177,26.7,86.6,,457428015,986701
19,14/11/2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,"4,86,000",,4201946,10120711,18,"2,898",781633,19.3,106.6,10.4%,159243596,1823802
20,13/11/2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,"15,00,000",,2262921,14650161,45,"3,679",775682,22.7,111.3%,13.2%,373358246,1564532
21,17/11/2019,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,undisclosed,,2511752,12534488,263,1391,637818,7.6%,75.5,82.2,278190336,333797
22,18/11/2019,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,"1,20,00,000",,1866574,16159321,,855,795099,14.0,32.0,74.5%,92906744,1158880
23,15/11/2019,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,"2,60,00,000",,,17027709,33,2214,48522,50.4,84.3,18.0,44942704,154509
24,20/11/2019,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,"1,74,11,265",,4635289,2358811,378,3611,1748929,10.6,34.3,-6.6%,66663770,1988408
25,12/11/2019,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,"13,00,000",,3912205,7165474,390,2663,500296,-14.6,25.6,16.1,1000000000,"274,866"
26,20/11/2019,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,"13,50,00,000",,3226448,13097180,30,3041,894690,25.9,41.2%,38.2%,268265358,1898348
27,11/11/2019,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,"3,00,000",,2024023,10920788,109,3345,340427,29.5,29.7%,-31.8,337555880,476534
28,19/11/2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,"22,00,00,000",,4117352,,6,4779,1073002,15.1%,64.5,-42.3,"77,220,158",1991852
29,18/11/2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,"1,58,00,000",,2736237,3545917,285,3187,,,114.4%,-18.6%,92584084,1224553
30,15/11/2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,"28,30,00,000",,2228202,11491375,91,717,339559,37.7,86.0,29.1,308744235,1112042
31,19/11/2019,Furtados School of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,,"20,00,00,000",,2263288,14837534,458,2032,577525,16.6,89.4,30.5,288613555,"71,085"
32,25/11/2019,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,"1,00,00,00,000",,1151648,864497,50,890,1809507,5.8,100.4,21.1,81246592,1453637
33,04/10/2019,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,"4,50,00,000",,478836,11872273,326,3802,1717833,35.8%,43.9,37.8,291514690,77066
34,02/10/2019,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,"58,50,00,000",,2781832,,394,4986,1579907,-28.5,77.2,5.5,116506070,1046496
35,21/10/2019,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,unknown,,4441691,11517237,93,3868,406831,14.2%,91.3,3.2,154048172,1779738
36,05/09/2019,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,"45,00,000",,337809,19060404,130,1267,1299738,1.2,50.4,19.6,42316556,1503710
37,04/09/2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,"33,00,000",,4294290,7116249,399,3496,1638615,41.8,58.8%,52.8,34975648,247192
38,04/09/2019,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,"60,00,000",,4141603,169290,50,154,"1,299,638",16.9,90.1,20.3,418629941,339834
39,04/09/2019,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,"50,00,000",,1398263,13673065,223,1397,1718698,-5.3,100.8%,7.6,49106767,662277
40,04/09/2019,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,"1,80,00,000",,3165688,4334552,128,1551,402191,34.8,56.2,,173565259,1459409
41,04/09/2019,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,"10,00,000",,842840,292699,11,2373,927606,-37.2%,82.6,45.6%,198642241,727608
42,04/09/2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,"1,00,00,000",,3795276,3685864,228,1636,660973,22.2,86.4%,1.0,92401147,1208282
43,04/09/2019,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,"45,00,00,000",,3508604,18687176,245,2192,1449058,-13.3,,,67768349,1591461
44,03/09/2019,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,"50,00,000",,1785539,,176,99,255731,2.8,98.7,-1.9,460419798,
45,01/08/2019,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,"2,00,00,000",,358241,5572804,407,4093,637283,7.2%,39.5%,30.4,424051009,1825075
46,01/08/2019,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,"50,00,000",,4854076,12001793,52,2007,1404925,30.2,,-9.5,,1733951
47,01/08/2019,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,,Seed Funding Round,"16,00,000",,2239523,6852833,217,4050,35640,56.1,115.8,26.0%,152891752,1545194
48,01/08/2019,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,"14,00,00,000",,,3628939,94,336,511518,-23.6,57.8,-26.8,67923276,"500,693"
49,01/08/2019,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,"3,80,80,000",,3396036,19768823,380,4337,1419332,20.9%,96.5%,3.5,36092752,1007645
50,12/08/2019,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,"12,50,00,000",,,16298022,280,3150,478959,56.0,73.9,8.5,323039804,1601276
51,13/08/2019,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,"1,10,00,000",,3804299,7333295,354,1194,1212864,0.5,63.8,54.7,179898675,
52,13/08/2019,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,"5,10,00,000",,989300,1000000000,58,3775,800975,,77.0,34.3%,274561828,1665819
53,23/08/2019,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,"3,70,00,000",,1832252,16330288,231,3754,922781,16.7%,,1.1,121900847,882781
54,23/08/2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,"5,00,000",,2344270,"9,271,051",30,3645,716340,28.6%,51.8%,,360536573,1862004
55,23/08/2019,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,"11,00,00,000",,2499001,7601343,165,4358,1797390,25.2,96.1,-6.9%,204089548,1960689
56,22/08/2019,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,"1,50,00,000",,238142,7807401,472,4772,1441744,4.8,,-18.1,,625107
57,21/08/2019,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,"65,90,000",,2741916,"8,991,505",364,874,1454542,-4.1%,113.5,50.4%,430211947,1922461
58,23/08/2019,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,"10,00,000",,788361,10475466,43,1447,,38.3,20.9,-8.9,148618825,816567
59,19/08/2019,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,Undisclosed,,3722012,897490,187,247,"851,219",-3.5,96.9%,53.0,372578808,1524268
60,19/08/2019,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,"7,00,00,000",,3421583,9654835,436,379,206666,-26.3,35.7%,12.5,342889879,1302892
61,27/08/2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,"3,90,00,00,000",,4614188,8855372,89,572,106852,-17.1,96.1%,7.9,122202933,
62,02/07/2019,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,"1,90,00,000",,3728915,5564221,379,3475,964297,0.5,107.0%,12.4%,126117294,1791707
63,02/07/2019,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,"25,00,000",,1845880,7172341,163,"3,050",1752183,41.9,,40.2,161034241,"1,114,330"
64,01/07/2019,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,"1,45,000",,4838198,8548665,241,222,965829,-11.8%,79.4,-11.4,446410928,265574
65,03/07/2019,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,"10,00,000",,2066034,7384804,439,2137,1969287,42.4%,32.3,22.7%,216825678,1130146
66,01/07/2019,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,"3,80,80,000",,1642610,18175909,337,596,1046970,38.1,116.0,9.0,371769199,1235083
67,04/07/2019,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,"5,00,000",,4529568,10617517,145,1015,1269078,16.5,52.6%,20.1,,1492021
68,10/07/2019,"""BYJU\\'S""",EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,"15,00,00,000",,1864889,10107593,,325,155350,-39.0,22.8,4.9,38553197,1392304
69,11/07/2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,"6,00,00,000",,400189,5332442,121,2665,1536424,-11.7%,20.2,1.0,,708310
70,10/07/2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,"1,60,00,000",,"2,358,387",18336089,,452,1778070,-0.7,93.9,23.1,154565762,1657175
71,10/07/2019,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,"57,50,000",,3982486,561407,71,3938,1012099,,103.3,-24.5%,141203799,1326358
72,10/07/2019,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,"25,00,000",,963567,11047528,441,4663,1809111,0.6,100.3,44.8%,94843167,1502099
73,09/07/2019,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,"10,00,000",,2325444,3459189,32,4286,473362,-3.5%,75.9,12.7%,480969382,851514
74,08/07/2019,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,"3,19,605",,667009,1000000000,272,,978505,15.8,83.2,-3.7,137067225,678630
75,05/06/2019,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,"5,10,00,000",,3438661,7627698,488,3771,1824143,-16.2,110.7,19.2%,10705581,1844431
76,04/06/2019,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,"1,00,00,000",,2389010,5942467,170,,1207341,11.5,86.4,-7.4,212622303,1355772
77,03/06/2019,FabHotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",,"48,89,975.54",,1664377,1253278,270,4433,1376732,-4.0,55.1,12.0,384111393,718005
78,03/06/2019,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,"90,00,000",,1150008,15829228,41,1120,806555,65.8,115.0%,12.1,"423,973,718",754964
79,04/06/2019,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,"7,50,00,000",,2831209,7989995,366,3040,1097171,-6.4%,116.6%,41.5%,186060566,1276000
80,04/06/2019,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,"2,60,00,000",,3355673,5360000,488,"1,564",743193,50.6,82.8%,17.0,340151156,935210
81,03/06/2019,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,"25,00,000",,4702724,16901507,387,4193,1364200,-10.8,76.6,-18.0,"70,249,656",49072
82,06/06/2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,"27,39,034.68",,2197016,"489,044",,101,111667,17.3%,113.7,24.5,33950042,186778
83,06/06/2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,"2,60,00,000",,820227,9429803,179,2115,1023771,22.0%,97.8%,28.0,373260008,1168079
84,06/06/2019,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,"1,51,09,500.00",,4166737,3298505,363,1926,1859676,14.8,31.9,-30.3,254432238,353424
85,10/06/2019,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,"4,30,200",,3156226,2626768,400,4269,116863,13.6,115.8,-19.7%,2218693,1553377
86,10/06/2019,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,"1,55,00,000",,3507320,530892,204,1508,902287,29.2%,92.4%,60.2,117800827,
87,06/06/2019,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,"5,20,00,000",,504188,"3,822,214",480,4484,1320916,20.3,93.9,1.7%,195991781,1667667
88,08/06/2019,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,"35,84,000",,1575585,18946546,105,2506,169209,8.5,60.1,2.3,,1559964
89,04/06/2019,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,"34,00,000",,3843862,8965865,372,3447,10533,-1.5,20.8,9.1,152767152,1756160
90,06/05/2019,Ola Electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,undisclosed,,4164653,19999542,250,2676,330387,8.7%,,-6.0%,"282,951,656","1,251,263"
91,06/05/2019,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,"8,68,600",,2187379,5419270,357,2183,440769,8.4%,53.1,-34.3,99957076,1015144
92,05/05/2019,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,undisclosed,,4027726,15268382,300,1555,1757322,8.0,65.6,-18.1%,282265253,1361151
93,01/05/2019,BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,"15,00,00,000",,4211625,1883071,,1444,312042,13.5,90.1,-6.0,323665310,
94,02/05/2019,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,"5,00,00,000",,1949642,2251750,,3219,1280981,-16.2%,65.1,-2.6%,333228708,1829481
